idx, run1, run2, run3, run4, run5, run6, uncertainty, mean, std dev
1a, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a
1b, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a
2, 15420, 14760, 14820, 14940, 13560, 15660, 180, 14880, 720
3a, 2.4e-4, 2.7e-4, 3.6e-4, 3.5e-4, 5.7e-4, n/a, n/a, 3.6e-4, 1.3e-4
3b, 0, 0, 0, 0, 0, 0, 0, 0, 0
3c, 3.4e-3, 3.5e-3, 3.6e-3, 3.5e-3, 3.4e-3, n/a, 0.7e-3, 3.5e-3, 0.8e-4
3d, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a
4a, 0, 0, 0, 0, 0, 0, 0, 0, 0
4b, 0, 0, 0, 0, 0, 0, 0, 0, 0
4c, 3.8e-4, 6.3e-4, 6.2e-4, 7.0e-4, 9.5e-4, n/a, 1.0e-4, 5.5e-4, 3.2e-4
4d, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a, n/a
5lower, 12720, 12180, 12240, 12120, 11400, 12420, n/a, 12180, 438
5upper, 13740, 20160, 19620, 18060, 18000, 18360, n/a, 17990, 2261
6, 3.7e-4, 3.1e-4, 3.8e-4, 4.4e-4, 4.0e-4, n/a, 0.8e-4, 3.8e-4, 4.7e-5
