# C1_time_[h],C1_mass_[g],C2_time_[h],C2_mass_[g],C3_time_[h],C3_mass_[g],C4_time_[h],C4_mass_[g],C5_time_[h],C5_mass_[g]
0,0,0,0,0,0,0,0,0,0
0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0
0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0
0.25,0.00516823335872959,0.25,0,0.25,0,0.25,0,0.25,0
0.333333333333333,0.0377251688328236,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0
0.416666666666667,0.111785455591318,0.416666666666667,0,0.416666666666667,0,0.416666666666667,0.101041784525419,0.416666666666667,0
0.5,0.187595217127886,0.5,0,0.5,0,0.5,0.179896258792032,0.5,0.211448475222289
0.583333333333333,0.249450716238915,0.583333333333333,0.268437653455299,0.583333333333333,0.213804037361647,0.583333333333333,0.242227221298552,0.583333333333333,0.272822833065071
0.666666666666667,0.309048895455864,0.666666666666667,0.335733257736791,0.666666666666667,0.277649459167384,0.666666666666667,0.304921389456024,0.666666666666667,0.327435867923944
0.75,0.37772543764763,0.75,0.398327196452096,0.75,0.328555855627633,0.75,0.358213135889351,0.75,0.393285870967123
0.833333333333333,0.414758686746783,0.833333333333333,0.448796297579407,0.833333333333333,0.390455767914575,0.833333333333333,0.415596245330548,0.833333333333333,0.446724813551089
0.916666666666667,0.470966346854174,0.916666666666667,0.497399305286621,0.916666666666667,0.448986495992198,0.916666666666667,0.475976890814021,0.916666666666667,0.518251475928478
1,0.525904692220297,1,0.560297783517906,1,0.523562422355215,1,0.545324029226487,1,0.578757859370895
1.08333333333333,0.590763983492489,1.08333333333333,0.628060156116062,1.08333333333333,0.578749060184316,1.08333333333333,0.612483066593809,1.08333333333333,0.681626501041891
1.16666666666667,0.672477749761876,1.16666666666667,0.70811105341597,1.16666666666667,0.684328784534913,1.16666666666667,0.714253091559457,1.16666666666667,0.747805244595902
1.25,0.72583290180486,1.25,0.785184422524931,1.25,0.745861018304882,1.25,0.762404020098935,1.25,0.806771397487253
